id,pnm
NERCI,0
ELISETE,0
JUCELIA,0
LUCIRENE,0
JOVIANA,0
QUITERIA,0
DELMA,0
SABRINA,0
GEORGINA,0
IONEIDE,0
NEDINA,0
FELISMINA,0
ELINA,0
ALZENIRA,0
MARISA,0
VENTURA,0
IRAILDE,0
CEZARINA,0
ANAIDE,0
ESTEVA,0
EVANI,0
TEODOLINA,0
ROSIANE,0
IVANI,0
ESTER,0
CLEIDE,0
VALDENORA,0
ROSEANE,0
SILVANA,0
VALDIRENE,0
LETICIA,0
KENIA,0
IRIS,0
CLEUSA,0
GESSI,0
MARIVONE,0
FLORISBELA,0
COLETA,0
DEUSANIRA,0
JANE,0
RAIMUNDO,0
GENESIA,0
LUZIANE,0
LUZENIRA,0
FABIANA,0
LEONETE,0
ZILDETE,0
CIRILA,0
FAUSTA,0
GERUZA,0
GENILDA,0
LUSIA,0
EUGENIA,0
FABIA,0
HILARIA,0
DORVALINA,0
TANIA,0
LIDUINA,0
ROSE,0
MAMEDIA,0
DEUSIRENE,0
HELOISA,0
DALILA,0
CARINA,0
MARILEIA,0
HELENICE,0
MAIZA,0
PALMIRA,0
LINDOMAR,0
NILSA,0
IZALTINA,0
ADELITA,0
NORMA,0
ALZENIR,0
ERONDINA,0
GLEIDE,0
MIRACI,0
VIRGILIA,0
ARACY,0
ORLENE,0
